epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1983.41,1.41706,5.29559,1.20796,0.74908,0.72279,0.79068,0.4894,1.41199,1.06217,1.25069,0.00599837,0.00199946,0.00599837,0.00199946,0.00599837,0.00199946,0.00599837,0.00199946
2,3594.47,1.38602,1.5822,1.24607,0.76152,0.76044,0.82732,0.54206,1.27856,0.86119,1.24518,0.0119688,0.0039896,0.0119688,0.0039896,0.0119688,0.0039896,0.0119688,0.0039896
3,5124.36,1.40449,1.57335,1.31328,0.78028,0.80866,0.83456,0.55437,1.24984,0.82932,1.27926,0.0178214,0.00594046,0.0178214,0.00594046,0.0178214,0.00594046,0.0178214,0.00594046
4,6618.35,1.41365,1.56403,1.33816,0.79712,0.81305,0.85849,0.5558,1.30711,0.79011,1.30253,0.0234698,0.00782327,0.0234698,0.00782327,0.0234698,0.00782327,0.0234698,0.00782327
5,8102.73,1.41983,1.57107,1.36919,0.81066,0.82541,0.86206,0.54161,1.36676,0.76754,1.36274,0.0288313,0.00961043,0.0288313,0.00961043,0.0288313,0.00961043,0.0288313,0.00961043
6,9560.38,1.41054,1.47255,1.37458,0.86568,0.82899,0.89029,0.59165,1.24675,0.65588,1.30619,0.0281913,0.00939711,0.0281913,0.00939711,0.0281913,0.00939711,0.0281913,0.00939711
7,11006.7,1.35316,1.29262,1.34225,0.84959,0.87175,0.90004,0.62136,1.15253,0.59414,1.2286,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058
8,12437.5,1.31286,1.19242,1.31662,0.87009,0.89056,0.92055,0.64045,1.14827,0.53312,1.23728,0.0265325,0.00884415,0.0265325,0.00884415,0.0265325,0.00884415,0.0265325,0.00884415
9,13905,1.27969,1.10495,1.29428,0.87667,0.90727,0.92773,0.66066,1.09656,0.49815,1.19239,0.0255333,0.00851109,0.0255333,0.00851109,0.0255333,0.00851109,0.0255333,0.00851109
10,15350.4,1.25545,1.04057,1.28167,0.88408,0.91345,0.93246,0.67838,1.04847,0.46556,1.18328,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503,0.0244351,0.00814503
11,16791.7,1.23357,0.98753,1.26931,0.8813,0.92127,0.93462,0.69088,1.01817,0.44624,1.16289,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775
12,18221.5,1.21696,0.96642,1.25726,0.89099,0.92584,0.94253,0.6891,1.03953,0.42994,1.16016,0.0219909,0.00733031,0.0219909,0.00733031,0.0219909,0.00733031,0.0219909,0.00733031
13,1424.37,1.16966,0.88019,1.21987,0.89763,0.93393,0.94456,0.70458,0.99647,0.40205,1.14595,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058
14,2805.21,1.15946,0.85999,1.21447,0.89919,0.94295,0.95203,0.71117,0.99209,0.38851,1.14248,0.0193068,0.0064356,0.0193068,0.0064356,0.0193068,0.0064356,0.0193068,0.0064356
15,4194.68,1.14423,0.83763,1.20732,0.90374,0.94376,0.9518,0.71833,0.97213,0.37828,1.11812,0.0179111,0.00597038,0.0179111,0.00597038,0.0179111,0.00597038,0.0179111,0.00597038
16,5578.31,1.13273,0.80714,1.19423,0.91585,0.94264,0.95945,0.72293,0.97549,0.36506,1.12659,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055,0.0165,0.0055
17,6962.86,1.12443,0.78532,1.19054,0.92565,0.94326,0.96326,0.73524,0.9507,0.35338,1.10921,0.0150889,0.00502962,0.0150889,0.00502962,0.0150889,0.00502962,0.0150889,0.00502962
18,8339.31,1.11248,0.76641,1.1798,0.92769,0.94381,0.96529,0.73848,0.93915,0.34531,1.0999,0.0136932,0.0045644,0.0136932,0.0045644,0.0136932,0.0045644,0.0136932,0.0045644
19,9711.87,1.09287,0.72996,1.17345,0.93094,0.94296,0.96625,0.73864,0.94781,0.34525,1.10163,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942,0.0123283,0.00410942
20,1521.37,1.04597,0.67059,1.14509,0.93298,0.94709,0.96822,0.74812,0.92274,0.33196,1.09298,0.0110091,0.00366969,0.0110091,0.00366969,0.0110091,0.00366969,0.0110091,0.00366969
