epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1277.49,1.36751,3.6889,1.30597,0.74519,0.73788,0.78931,0.46113,1.45686,1.11433,1.27967,4.33882e-05,4.33882e-05,4.33882e-05
2,2488.8,1.19438,1.36068,1.21361,0.85362,0.83745,0.89046,0.60691,1.12295,0.78878,1.14896,8.63074e-05,8.63074e-05,8.63074e-05
3,3673.13,1.14204,1.09864,1.19571,0.86741,0.8801,0.91387,0.61592,1.13198,0.70788,1.14101,0.000127321,0.000127321,0.000127321
4,4766.04,1.11068,0.99124,1.18393,0.88682,0.91143,0.9303,0.64017,1.11113,0.64257,1.14503,0.000165074,0.000165074,0.000165074
5,5852.01,1.08869,0.92073,1.17256,0.89843,0.92747,0.94179,0.635,1.15372,0.60039,1.16169,0.00019834,0.00019834,0.00019834
6,6942.76,1.07377,0.86422,1.16532,0.90344,0.93226,0.94821,0.66791,1.05254,0.5517,1.11782,0.000188399,0.000188399,0.000188399
7,8036.32,1.05144,0.80663,1.15449,0.91585,0.93471,0.95392,0.68126,1.02857,0.51657,1.10703,0.000176747,0.000176747,0.000176747
8,9121.96,1.03062,0.75942,1.14273,0.9235,0.94191,0.96054,0.6768,1.06215,0.50602,1.11998,0.000163682,0.000163682,0.000163682
9,10205.6,1.0074,0.72012,1.13086,0.92394,0.94239,0.96352,0.69948,0.99499,0.47727,1.08385,0.000149526,0.000149526,0.000149526
10,11291.3,0.99554,0.68994,1.12112,0.92671,0.95169,0.96736,0.71348,0.9591,0.45786,1.07316,0.000134626,0.000134626,0.000134626
11,12268.7,0.90885,0.52151,1.10568,0.94146,0.94728,0.97081,0.71893,0.95791,0.44653,1.07483,0.00011935,0.00011935,0.00011935
12,13239.5,0.88645,0.49139,1.09613,0.93909,0.95576,0.97206,0.72578,0.94095,0.43618,1.06112,0.000104074,0.000104074,0.000104074
13,14215.6,0.87434,0.47218,1.08451,0.94147,0.96086,0.97508,0.73326,0.92766,0.42091,1.05132,8.91745e-05,8.91745e-05,8.91745e-05
14,15190.7,0.86466,0.45409,1.07688,0.94658,0.95881,0.97626,0.7389,0.91735,0.41189,1.04994,7.50178e-05,7.50178e-05,7.50178e-05
15,16167.4,0.85118,0.43989,1.07454,0.94653,0.96447,0.97842,0.7441,0.91181,0.40039,1.05135,6.19528e-05,6.19528e-05,6.19528e-05
16,17142.5,0.83409,0.42255,1.06141,0.94722,0.96293,0.97916,0.75212,0.88725,0.38977,1.03199,5.0301e-05,5.0301e-05,5.0301e-05
17,18117.7,0.82769,0.40962,1.05555,0.94574,0.97007,0.98088,0.75736,0.87703,0.38065,1.02872,4.03495e-05,4.03495e-05,4.03495e-05
18,19095.9,0.81915,0.39744,1.05193,0.95413,0.96411,0.98061,0.75535,0.8887,0.37877,1.03369,3.23432e-05,3.23432e-05,3.23432e-05
19,20075.8,0.8077,0.38804,1.04549,0.95389,0.96381,0.98078,0.7611,0.86915,0.37434,1.02569,2.64793e-05,2.64793e-05,2.64793e-05
20,21055.8,0.80303,0.38139,1.04081,0.94884,0.96987,0.98113,0.7617,0.87158,0.37154,1.02317,2.29022e-05,2.29022e-05,2.29022e-05
